location,datetime,tempmax,tempmin,humidity,windspeed,winddir,cloudcover,rainfall,10_Cumulative Rainfall,Flood_Severity
Kolhapur District Maharashtra,01-06-2008,30.4,28.1,63.8,3.6,270,40,0,0,0
Kolhapur District Maharashtra,02-06-2008,29.4,27.7,72.9,1.8,270,80,3.9,0,0
Kolhapur District Maharashtra,03-06-2008,27.9,25.4,80.7,3.6,293.4,90,11.9,3.9,0
Kolhapur District Maharashtra,04-06-2008,30.4,27.1,65.2,3.6,270,65,11.4,15.8,0
Kolhapur District Maharashtra,05-06-2008,27.9,27.9,65.7,1.8,270,60,0.2,27.2,0
Kolhapur District Maharashtra,06-06-2008,26.9,26.1,79.1,3.6,270,90,3.8,27.4,0
Kolhapur District Maharashtra,07-06-2008,24.7,24.1,81.6,3.6,270,100,18.2,31.2,0
Kolhapur District Maharashtra,08-06-2008,24.9,22.4,89.7,3.6,270,100,34.8,49.4,0
Kolhapur District Maharashtra,09-06-2008,26.9,24.2,81.2,3.6,270,95,32.9,84.2,0
Kolhapur District Maharashtra,10-06-2008,25.2,24.4,81.9,5.4,245.8,100,19.6,117.1,0
Kolhapur District Maharashtra,11-06-2008,25.9,25.4,82.8,3.6,280,95,15.7,136.7,1
Kolhapur District Maharashtra,12-06-2008,25.1,24.7,87.6,3.6,270,100,47.4,152.4,1
Kolhapur District Maharashtra,13-06-2008,26.4,24.4,81.1,3.6,270,100,20.3,195.9,1
Kolhapur District Maharashtra,14-06-2008,26.1,23.2,83.2,5.4,270,90,13.4,204.3,1
Kolhapur District Maharashtra,15-06-2008,25.4,24.2,86.6,3.6,270,100,46,206.3,1
Kolhapur District Maharashtra,16-06-2008,27.1,27.1,75.1,5.4,270,90,11.5,252.1,2
Kolhapur District Maharashtra,17-06-2008,27.1,25.9,77.1,5.4,270,100,5.9,259.8,2
Kolhapur District Maharashtra,18-06-2008,27.1,27.1,73.9,5.4,262,70,9.6,247.5,1
Kolhapur District Maharashtra,19-06-2008,27.2,27.1,73.5,5.4,297.4,70,4.9,222.3,1
Kolhapur District Maharashtra,20-06-2008,27.9,27.7,69.3,5.4,260.3,70,1.3,194.3,1
Kolhapur District Maharashtra,21-06-2008,27.4,27.1,71.6,3.6,260,80,2.7,176,1
Kolhapur District Maharashtra,22-06-2008,26.7,26.1,75.7,3.6,270,95,2.6,163,1
Kolhapur District Maharashtra,23-06-2008,28.1,27.4,67.6,3.6,280,65,2.3,118.2,0
Kolhapur District Maharashtra,24-06-2008,26.7,25.4,78.3,5.4,278,90,3.1,100.2,0
Kolhapur District Maharashtra,25-06-2008,27.1,27.1,71.7,5.4,282,90,5.6,89.9,0
Kolhapur District Maharashtra,26-06-2008,25.9,24.7,84.8,3.6,276.6,90,8.4,49.5,0
Kolhapur District Maharashtra,27-06-2008,26.4,25.1,81.7,5.4,300.3,80,7,46.4,0
Kolhapur District Maharashtra,28-06-2008,27.1,25.9,73.6,5.4,270,70,5,47.5,0
Kolhapur District Maharashtra,29-06-2008,26.1,24.4,82.3,5.4,245.8,100,21.3,42.9,0
Kolhapur District Maharashtra,30-06-2008,26.7,25.1,78.4,3.6,280,80,66,59.3,0
Kolhapur District Maharashtra,01-07-2008,25.2,24.7,82.4,5.4,262.6,90,1.8,124,1
Kolhapur District Maharashtra,02-07-2008,25.1,24.9,82,3.6,280,95,12.7,123.1,1
Kolhapur District Maharashtra,03-07-2008,26.7,26.4,75.2,5.4,245.8,80,6,133.2,1
Kolhapur District Maharashtra,04-07-2008,26.1,25.7,76,3.6,260,75,4.8,136.9,1
Kolhapur District Maharashtra,05-07-2008,26.2,26.1,76.5,3.6,270,75,7.4,138.6,1
Kolhapur District Maharashtra,06-07-2008,26.4,25.9,77.3,3.6,270,100,5.6,140.4,1
Kolhapur District Maharashtra,07-07-2008,25.1,24.1,83.7,5.4,285,90,8.9,137.6,1
Kolhapur District Maharashtra,08-07-2008,25.7,25.1,81.4,3.6,280,90,8.7,139.5,1
Kolhapur District Maharashtra,09-07-2008,25.9,24.4,78.6,5.4,278,75,8.5,143.2,1
Kolhapur District Maharashtra,10-07-2008,25.4,25.1,79.8,5.4,270,70,14.9,130.4,1
Kolhapur District Maharashtra,11-07-2008,26.2,24.9,77.5,3.6,256.6,90,10.9,79.3,0
Kolhapur District Maharashtra,12-07-2008,26.7,25.1,76.8,3.6,270,65,7.9,88.4,0
Kolhapur District Maharashtra,13-07-2008,26.4,26.2,76.1,7.6,270,85,8.2,83.6,0
Kolhapur District Maharashtra,14-07-2008,28.1,27.2,70.1,3.6,270,60,1.2,85.8,0
Kolhapur District Maharashtra,15-07-2008,27.2,27.1,70.4,3.6,280,80,0,82.2,0
Kolhapur District Maharashtra,16-07-2008,27.4,27.2,70.9,3.6,270,90,0.3,74.8,0
Kolhapur District Maharashtra,17-07-2008,27.2,27.1,74.2,3.6,270,60,1.9,69.5,0
Kolhapur District Maharashtra,18-07-2008,27.9,27.1,71.6,3.6,256.9,65,1.7,62.5,0
Kolhapur District Maharashtra,19-07-2008,28.1,27.2,69.5,3.6,283.4,70,2.2,55.5,0
Kolhapur District Maharashtra,20-07-2008,25.4,25.4,80.5,1.8,270,80,4.9,49.2,0
Kolhapur District Maharashtra,21-07-2008,27.1,26.9,73.7,3.6,270,90,2.2,39.2,0
Kolhapur District Maharashtra,22-07-2008,28.4,27.7,67.2,3.6,286.2,90,4.3,30.5,0
Kolhapur District Maharashtra,23-07-2008,28.2,27.2,70.3,3.6,283.4,70,1.7,26.9,0
Kolhapur District Maharashtra,24-07-2008,25.9,25.7,75.1,1.8,250,95,1,20.4,0
Kolhapur District Maharashtra,25-07-2008,25.2,22.1,86.1,3.6,263.4,95,8.2,20.2,0
Kolhapur District Maharashtra,26-07-2008,23.1,22.7,91.8,3.6,280,100,25.2,28.4,0
Kolhapur District Maharashtra,27-07-2008,23.1,22.4,95,3.6,270,100,37.4,53.3,0
Kolhapur District Maharashtra,28-07-2008,24.7,23.2,87.5,7.6,270,100,32.1,88.8,0
Kolhapur District Maharashtra,29-07-2008,24.4,23.2,89,3.6,263.4,95,31,119.2,0
Kolhapur District Maharashtra,30-07-2008,25.1,24.9,83.7,3.6,270,95,34.5,148,1
Kolhapur District Maharashtra,31-07-2008,26.1,25.4,80.6,3.6,283.4,70,23.9,177.6,1
Kolhapur District Maharashtra,01-08-2008,26.4,23.4,84.4,3.6,260,70,2.1,199.3,1
Kolhapur District Maharashtra,02-08-2008,24.7,24.2,86,3.6,270,90,22.1,197.1,1
Kolhapur District Maharashtra,03-08-2008,24.4,24.1,84.4,3.6,270,90,19.9,217.5,1
Kolhapur District Maharashtra,04-08-2008,23.7,23.7,89.1,3.6,283.4,100,13,236.4,1
Kolhapur District Maharashtra,05-08-2008,22.9,22.4,95.6,1.8,270,100,25.5,241.2,1
Kolhapur District Maharashtra,06-08-2008,23.2,23.1,91.3,1.8,270,100,44.8,241.5,1
Kolhapur District Maharashtra,07-08-2008,23.9,23.4,88.6,3.6,270,100,15.3,248.9,1
Kolhapur District Maharashtra,08-08-2008,24.9,23.1,86.3,3.6,270,95,20.3,232.1,1
Kolhapur District Maharashtra,09-08-2008,23.4,22.7,89.1,5.4,270,100,63.8,221.4,1
Kolhapur District Maharashtra,10-08-2008,22.4,22.1,94.9,3.6,270,100,108.9,250.7,2
Kolhapur District Maharashtra,11-08-2008,22.4,22.2,96.1,7.6,270,100,113.5,335.7,2
Kolhapur District Maharashtra,12-08-2008,23.9,23.4,88.6,3.6,295,95,65,447.1,3
Kolhapur District Maharashtra,13-08-2008,22.7,22.2,95.5,3.6,270,100,36.6,490,3
Kolhapur District Maharashtra,14-08-2008,24.1,24.1,87.5,3.6,270,100,57.7,506.7,3
Kolhapur District Maharashtra,15-08-2008,24.1,23.7,86.7,1.8,295,90,18.1,551.4,4
Kolhapur District Maharashtra,16-08-2008,24.4,24.4,84.4,3.6,270,90,11.5,544,4
Kolhapur District Maharashtra,17-08-2008,24.1,22.9,88.9,1.8,270,100,7,510.7,4
Kolhapur District Maharashtra,18-08-2008,26.1,25.1,78.2,1.8,270,80,4.6,502.4,3
Kolhapur District Maharashtra,19-08-2008,25.4,25.4,75.2,1.8,320,90,1.9,486.7,3
Kolhapur District Maharashtra,20-08-2008,25.7,25.4,75,3.6,270,85,0.7,424.8,3
Kolhapur District Maharashtra,21-08-2008,26.4,24.2,76.7,1.8,305,70,1.8,316.6,2
Kolhapur District Maharashtra,22-08-2008,26.7,26.2,74.5,3.6,283.4,50,0.7,204.9,1
Kolhapur District Maharashtra,23-08-2008,26.7,25.7,69.4,3.6,310.1,70,0.8,140.6,1
Kolhapur District Maharashtra,24-08-2008,27.7,27.2,67.5,3.6,310.1,55,3,104.8,0
Kolhapur District Maharashtra,25-08-2008,28.4,27.2,67.4,3.6,310.1,70,0.2,50.1,0
Kolhapur District Maharashtra,26-08-2008,25.7,25.7,78.1,1.8,290,100,0,32.2,0
Kolhapur District Maharashtra,27-08-2008,29.1,27.1,62.7,1.8,280,70,1.5,20.7,0
Kolhapur District Maharashtra,28-08-2008,29.7,25.7,71.9,3.6,293.4,75,0,15.2,0
Kolhapur District Maharashtra,29-08-2008,29.4,29.2,64.4,3.6,286.2,60,0.2,10.6,0
Kolhapur District Maharashtra,30-08-2008,28.9,28.9,68,1.8,305,70,0.3,8.9,0
Kolhapur District Maharashtra,31-08-2008,27.7,25.9,77.8,1.8,320,90,1.3,8.5,0
Kolhapur District Maharashtra,01-09-2008,26.9,26.7,77.1,3.6,90,80,22.2,8,0
Kolhapur District Maharashtra,02-09-2008,26.7,26.7,79.7,1.8,280,70,35.4,29.5,0
Kolhapur District Maharashtra,03-09-2008,27.9,27.1,78.4,1.8,250,75,15.8,64.1,0
Kolhapur District Maharashtra,04-09-2008,28.7,27.1,75.4,1.8,320,75,7.2,76.9,0
Kolhapur District Maharashtra,05-09-2008,27.4,27.4,74.2,3.6,276.6,85,0,83.9,0
Kolhapur District Maharashtra,06-09-2008,27.2,25.1,80,1.8,260,80,6.5,83.9,0
Kolhapur District Maharashtra,07-09-2008,26.4,24.1,82.5,5.4,270,90,4.4,88.9,0
Kolhapur District Maharashtra,08-09-2008,26.2,25.1,79.3,3.6,250,85,22.1,93.3,0
Kolhapur District Maharashtra,09-09-2008,24.2,22.9,81.3,3.6,270,100,5.8,115.2,0
Kolhapur District Maharashtra,10-09-2008,27.2,23.9,81.6,1.8,270,90,10.5,120.7,1
Kolhapur District Maharashtra,11-09-2008,23.4,23.2,91.9,1.8,250,95,42.5,129.9,1
Kolhapur District Maharashtra,12-09-2008,22.9,22.1,92.4,1.8,250,100,60.1,150.2,1
Kolhapur District Maharashtra,13-09-2008,24.2,23.2,87.2,3.6,270,90,30.1,174.9,1
Kolhapur District Maharashtra,14-09-2008,24.7,22.4,82.5,7.6,253.5,80,24.7,189.2,1
Kolhapur District Maharashtra,15-09-2008,25.1,24.9,78.7,3.6,270,85,11.2,206.7,1
Kolhapur District Maharashtra,16-09-2008,22.9,22.1,89.3,5.4,238,95,12.8,217.9,1
Kolhapur District Maharashtra,17-09-2008,25.1,22.4,89.6,5.4,278,95,27.8,224.2,1
Kolhapur District Maharashtra,18-09-2008,24.7,23.7,87,3.6,256.6,90,32.1,247.6,1
Kolhapur District Maharashtra,19-09-2008,25.7,24.2,79.5,5.4,278,80,16.8,257.6,2
Kolhapur District Maharashtra,20-09-2008,24.4,23.1,86.1,1.8,270,90,3.9,268.6,2
Kolhapur District Maharashtra,21-09-2008,26.1,25.1,76.3,1.8,270,80,8.1,262,2
Kolhapur District Maharashtra,22-09-2008,26.4,26.1,75.8,1.8,290,90,0.5,227.6,1
Kolhapur District Maharashtra,23-09-2008,26.4,24.9,75.3,1.8,280,80,8.8,168,1
Kolhapur District Maharashtra,24-09-2008,27.1,25.1,72.5,1.8,330,95,1.7,146.7,1
Kolhapur District Maharashtra,25-09-2008,27.9,27.1,67.7,1.8,270,45,6.3,123.7,1
Kolhapur District Maharashtra,26-09-2008,27.7,26.9,61.7,1.8,280,40,1.6,118.8,0
Kolhapur District Maharashtra,27-09-2008,27.9,26.7,59.4,1.8,270,35,0,107.6,0
Kolhapur District Maharashtra,28-09-2008,27.4,27.1,64.6,1.8,270,70,1.5,79.8,0
Kolhapur District Maharashtra,29-09-2008,28.9,27.1,64,1.8,260,60,1.2,49.2,0
Kolhapur District Maharashtra,30-09-2008,30.2,28.1,51.2,3.6,48.1,25,0,33.6,0
Kolhapur District Maharashtra,01-10-2008,29.9,29.1,55.2,3.6,222.5,15,0,29.7,0
Kolhapur District Maharashtra,02-10-2008,30.1,28.4,54.4,1.8,250,30,0,21.6,0
Kolhapur District Maharashtra,03-10-2008,27.1,26.7,75.5,1.8,350,95,0,21.1,0
Kolhapur District Maharashtra,04-10-2008,28.7,23.9,75.4,1.8,305,80,1.3,12.3,0
Kolhapur District Maharashtra,05-10-2008,27.2,25.9,73.8,1.8,270,80,11.7,11.9,0
Kolhapur District Maharashtra,06-10-2008,28.2,28.2,70.2,1.8,290,50,4,17.3,0
Kolhapur District Maharashtra,07-10-2008,28.4,25.1,72.7,1.8,325,80,15.5,19.7,0
Kolhapur District Maharashtra,08-10-2008,27.9,26.2,70.9,1.8,280,55,10.4,35.2,0
Kolhapur District Maharashtra,09-10-2008,28.1,26.2,66,1.8,10,75,0.1,44.1,0
Kolhapur District Maharashtra,10-10-2008,26.2,23.2,82,3.6,170,75,14.5,43,0
Kolhapur District Maharashtra,11-10-2008,28.7,27.4,71,1.8,170,60,29.9,57.5,0
Kolhapur District Maharashtra,12-10-2008,29.1,28.4,61.2,1.8,90,45,4.6,87.4,0
Kolhapur District Maharashtra,13-10-2008,30.2,28.9,49.2,3.6,90,5,0,92,0
Kolhapur District Maharashtra,14-10-2008,30.7,29.1,41.2,3.6,76.6,5,0,92,0
Kolhapur District Maharashtra,15-10-2008,30.9,28.9,45.5,3.6,90,30,0,90.7,0
Kolhapur District Maharashtra,16-10-2008,29.4,28.7,55.7,1.8,80,60,0,79,0
Kolhapur District Maharashtra,17-10-2008,29.1,26.4,67.2,3.6,90,65,0,75,0
Kolhapur District Maharashtra,18-10-2008,27.4,25.2,78.6,3.6,138.1,60,0,59.5,0
Kolhapur District Maharashtra,19-10-2008,30.1,28.1,56.1,3.6,90,40,0,49.1,0
Kolhapur District Maharashtra,20-10-2008,30.1,28.9,43.2,1.8,90,30,0,49,0
Kolhapur District Maharashtra,21-10-2008,29.4,28.2,41.4,3.6,90,55,0.4,34.5,0
Kolhapur District Maharashtra,22-10-2008,30.4,28.7,48.2,5.4,90,40,0,5,0
Kolhapur District Maharashtra,23-10-2008,30.4,29.1,50.9,3.6,80,35,0,0.4,0
Kolhapur District Maharashtra,24-10-2008,30.2,29.1,42.2,3.6,90,10,0,0.4,0
Kolhapur District Maharashtra,25-10-2008,29.9,28.9,32.7,3.6,90,30,0,0.4,0
Kolhapur District Maharashtra,26-10-2008,30.1,28.4,34.2,1.8,90,15,0,0.4,0
Kolhapur District Maharashtra,27-10-2008,30.4,29.1,38.6,1.8,90,0,0,0.4,0
Kolhapur District Maharashtra,28-10-2008,31.1,28.1,42,0,85,0,0,0.4,0
Kolhapur District Maharashtra,29-10-2008,30.2,30.2,34.2,1.8,90,0,0,0.4,0
Kolhapur District Maharashtra,30-10-2008,31.1,28.1,42,0,85,0,0,0.4,0
Kolhapur District Maharashtra,31-10-2008,31.1,28.4,39.8,1.8,90,0,0,0.4,0
Kolhapur District Maharashtra,01-06-2009,29.9,26.7,62.4,3.6,270,75,0,0,0
Kolhapur District Maharashtra,02-06-2009,30.7,29.9,59.9,5.4,270,35,3.4,0,0
Kolhapur District Maharashtra,03-06-2009,32.1,29.9,56.9,3.6,256.6,40,0,3.4,0
Kolhapur District Maharashtra,04-06-2009,30.1,29.1,61.8,5.4,250,50,0,3.4,0
Kolhapur District Maharashtra,05-06-2009,30.1,29.4,62.8,3.6,297.5,65,1.9,3.4,0
Kolhapur District Maharashtra,06-06-2009,29.1,24.2,71.6,3.6,270,75,1.9,5.3,0
Kolhapur District Maharashtra,07-06-2009,26.7,25.2,74.1,5.4,260.3,100,19.2,7.2,0
Kolhapur District Maharashtra,08-06-2009,29.1,28.9,60.7,3.6,270,60,0,26.4,0
Kolhapur District Maharashtra,09-06-2009,31.2,30.1,54,3.6,270,45,1.5,26.4,0
Kolhapur District Maharashtra,10-06-2009,30.4,29.4,62.5,3.6,270,50,0.5,27.9,0
Kolhapur District Maharashtra,11-06-2009,31.4,30.1,57.5,3.6,270,25,0,28.4,0
Kolhapur District Maharashtra,12-06-2009,29.9,29.1,60.5,3.6,270,55,1,28.4,0
Kolhapur District Maharashtra,13-06-2009,32.2,29.9,55.9,1.8,270,40,0,26,0
Kolhapur District Maharashtra,14-06-2009,31.4,30.4,56.7,5.4,239.7,60,0,26,0
Kolhapur District Maharashtra,15-06-2009,31.2,29.9,52,3.6,270,60,4.2,26,0
Kolhapur District Maharashtra,16-06-2009,29.1,29.1,58.7,3.6,270,80,0,28.3,0
Kolhapur District Maharashtra,17-06-2009,29.2,29.2,65.3,3.6,250,90,0,26.4,0
Kolhapur District Maharashtra,18-06-2009,29.4,29.4,67.3,3.6,250,90,1.9,7.2,0
Kolhapur District Maharashtra,19-06-2009,31.7,27.9,61.7,1.8,260,85,8.2,9.1,0
Kolhapur District Maharashtra,20-06-2009,31.1,27.4,63.4,3.6,270,70,1,15.8,0
Kolhapur District Maharashtra,21-06-2009,29.1,28.1,60.3,5.4,270,85,0,16.3,0
Kolhapur District Maharashtra,22-06-2009,29.1,28.9,60.7,5.4,258,60,0.7,16.3,0
Kolhapur District Maharashtra,23-06-2009,27.9,27.2,63.7,3.6,260,65,4.2,16,0
Kolhapur District Maharashtra,24-06-2009,28.1,27.4,65.1,3.6,250,70,3.3,20.2,0
Kolhapur District Maharashtra,25-06-2009,29.1,26.9,58.9,3.6,250,80,1.3,23.5,0
Kolhapur District Maharashtra,26-06-2009,26.2,25.1,74.2,5.4,254.2,100,4.2,20.6,0
Kolhapur District Maharashtra,27-06-2009,26.9,25.1,74.2,3.6,243.1,100,7.5,24.8,0
Kolhapur District Maharashtra,28-06-2009,27.4,26.4,71.5,3.6,263.4,100,9.1,32.3,0
Kolhapur District Maharashtra,29-06-2009,28.1,27.4,68.4,3.6,256.6,80,10.9,39.5,0
Kolhapur District Maharashtra,30-06-2009,28.7,27.4,67.9,3.6,260,70,7.8,42.2,0
Kolhapur District Maharashtra,01-07-2009,27.9,25.1,77.4,3.6,256.6,100,5.9,49,0
Kolhapur District Maharashtra,02-07-2009,24.7,24.1,91.7,1.8,250,100,20.1,54.9,0
Kolhapur District Maharashtra,03-07-2009,24.4,23.4,90,3.6,250,100,73.8,74.3,0
Kolhapur District Maharashtra,04-07-2009,26.1,23.1,84,3.6,283.4,90,40.1,143.9,1
Kolhapur District Maharashtra,05-07-2009,26.9,25.1,75.8,3.6,243.1,90,20.5,180.7,1
Kolhapur District Maharashtra,06-07-2009,25.7,24.7,87.1,3.6,270,100,7.9,199.9,1
Kolhapur District Maharashtra,07-07-2009,24.1,24.1,90.3,3.6,270,100,31.6,203.6,1
Kolhapur District Maharashtra,08-07-2009,23.4,21.9,96.4,3.6,256.6,100,42.8,227.7,1
Kolhapur District Maharashtra,09-07-2009,22.9,22.4,95,3.6,276.6,100,75.3,261.4,2
Kolhapur District Maharashtra,10-07-2009,24.9,23.9,88.6,3.6,260,100,76.2,325.8,2
Kolhapur District Maharashtra,11-07-2009,24.1,23.9,91.6,3.6,270,100,27.3,394.2,2
Kolhapur District Maharashtra,12-07-2009,25.9,25.4,77.7,3.6,270,90,23.7,415.6,3
Kolhapur District Maharashtra,13-07-2009,26.1,25.2,79.9,5.4,278,100,12.4,419.2,3
Kolhapur District Maharashtra,14-07-2009,23.4,22.9,93.3,5.4,262,100,43.5,357.8,2
Kolhapur District Maharashtra,15-07-2009,24.1,22.2,95,3.6,280,100,100.9,361.2,2
Kolhapur District Maharashtra,16-07-2009,24.1,24.1,92.5,3.6,260,100,94.4,441.6,3
Kolhapur District Maharashtra,17-07-2009,25.2,25.1,83.8,5.4,262,95,64.1,528.1,4
Kolhapur District Maharashtra,18-07-2009,26.1,25.9,79.4,3.6,250,80,35.1,560.6,4
Kolhapur District Maharashtra,19-07-2009,25.7,25.4,80.5,5.4,254.2,100,30.3,552.9,4
Kolhapur District Maharashtra,20-07-2009,24.4,24.1,86.5,3.6,240,100,17.1,507.9,3
Kolhapur District Maharashtra,21-07-2009,24.9,24.4,82.4,3.6,260,100,26.4,448.8,3
Kolhapur District Maharashtra,22-07-2009,24.4,23.4,87.3,5.4,262,100,30.4,447.9,3
Kolhapur District Maharashtra,23-07-2009,26.1,23.9,85.7,5.4,250,95,41.5,454.6,3
Kolhapur District Maharashtra,24-07-2009,25.9,25.1,81.8,3.6,260,85,45.4,483.7,3
Kolhapur District Maharashtra,25-07-2009,25.2,25.2,82,5.4,262,75,26.2,485.6,3
Kolhapur District Maharashtra,26-07-2009,25.1,24.7,81,3.6,270,90,11.6,410.9,3
Kolhapur District Maharashtra,27-07-2009,24.4,24.4,92.5,1.8,270,100,14,328.1,2
Kolhapur District Maharashtra,28-07-2009,24.1,23.4,92.4,3.6,260,100,18.6,278,2
Kolhapur District Maharashtra,29-07-2009,25.9,24.4,84.3,3.6,270,80,23.9,261.5,2
Kolhapur District Maharashtra,30-07-2009,25.4,25.2,82.7,3.6,250,80,11.9,255.1,2
Kolhapur District Maharashtra,31-07-2009,26.1,25.7,76.8,3.6,280,85,4.5,249.9,1
Kolhapur District Maharashtra,01-08-2009,26.4,26.1,75.1,3.6,260,85,2,228,1
Kolhapur District Maharashtra,02-08-2009,26.7,26.7,72.7,3.6,283.4,90,2.2,199.6,1
Kolhapur District Maharashtra,03-08-2009,25.9,25.1,76.5,3.6,270,95,3.8,160.3,1
Kolhapur District Maharashtra,04-08-2009,26.1,24.9,77.8,3.6,270,100,6.1,118.7,0
Kolhapur District Maharashtra,05-08-2009,26.1,23.7,83.2,3.6,270,80,1.6,98.6,0
Kolhapur District Maharashtra,06-08-2009,25.7,25.4,79.8,3.6,270,70,4,88.6,0
Kolhapur District Maharashtra,07-08-2009,26.7,26.1,76.4,3.6,263.4,70,3.5,78.6,0
Kolhapur District Maharashtra,08-08-2009,26.1,24.9,81.9,3.6,270,80,4.6,63.5,0
Kolhapur District Maharashtra,09-08-2009,26.2,25.9,77.5,3.6,243.1,95,5.4,44.2,0
Kolhapur District Maharashtra,10-08-2009,25.9,23.9,82.6,3.6,270,80,3.5,37.7,0
Kolhapur District Maharashtra,11-08-2009,27.4,27.1,71.1,3.6,276.6,70,5.5,36.7,0
Kolhapur District Maharashtra,12-08-2009,26.9,26.7,73.4,3.6,270,60,2.6,40.2,0
Kolhapur District Maharashtra,13-08-2009,27.9,26.1,72.3,3.6,283.4,55,3,40.6,0
Kolhapur District Maharashtra,14-08-2009,26.9,26.2,76.1,3.6,280,60,2,39.8,0
Kolhapur District Maharashtra,15-08-2009,27.4,26.4,74.4,1.8,270,90,2.2,35.7,0
Kolhapur District Maharashtra,16-08-2009,26.9,25.9,73.6,1.8,270,70,5.7,36.3,0
Kolhapur District Maharashtra,17-08-2009,26.4,23.4,83.7,1.8,270,70,4.1,38,0
Kolhapur District Maharashtra,18-08-2009,28.4,27.1,74.3,1.8,280,95,9.3,38.6,0
Kolhapur District Maharashtra,19-08-2009,29.9,27.7,72.4,1.8,270,55,15.8,43.3,0
Kolhapur District Maharashtra,20-08-2009,28.2,26.4,74.7,3.6,283.4,70,5.1,53.7,0
Kolhapur District Maharashtra,21-08-2009,25.9,23.4,87.6,1.8,270,100,15.5,55.3,0
Kolhapur District Maharashtra,22-08-2009,26.4,25.1,79.3,1.8,270,70,5.4,65.3,0
Kolhapur District Maharashtra,23-08-2009,26.4,26.2,76.8,1.8,270,80,9.4,68.1,0
Kolhapur District Maharashtra,24-08-2009,24.4,23.4,85.5,1.8,270,100,6.6,74.5,0
Kolhapur District Maharashtra,25-08-2009,24.1,24.1,83.9,1.8,250,100,27.9,79.1,0
Kolhapur District Maharashtra,26-08-2009,25.1,23.7,85.3,1.8,270,90,14.3,104.8,0
Kolhapur District Maharashtra,27-08-2009,26.7,26.4,75.2,3.6,283.4,70,12.1,113.4,0
Kolhapur District Maharashtra,28-08-2009,26.7,24.1,76.4,1.8,280,80,10.3,121.4,1
Kolhapur District Maharashtra,29-08-2009,25.4,23.9,86.6,1.8,270,90,13.6,122.4,1
Kolhapur District Maharashtra,30-08-2009,26.1,24.9,83.7,1.8,270,95,12.9,120.2,1
Kolhapur District Maharashtra,31-08-2009,27.1,26.1,78.6,3.6,270,95,12,128,1
Kolhapur District Maharashtra,01-09-2009,27.2,25.7,73.1,1.8,270,80,3.4,124.5,1
Kolhapur District Maharashtra,02-09-2009,25.7,25.4,72.8,3.6,270,85,4.4,122.5,1
Kolhapur District Maharashtra,03-09-2009,23.7,23.1,90.5,1.8,280,100,6.6,117.5,0
Kolhapur District Maharashtra,04-09-2009,24.9,23.7,87.3,1.8,270,100,33.6,117.5,0
Kolhapur District Maharashtra,05-09-2009,25.1,24.9,85.6,1.8,280,100,35.8,123.2,1
Kolhapur District Maharashtra,06-09-2009,24.9,23.1,81.9,1.8,290,90,12.6,144.7,1
Kolhapur District Maharashtra,07-09-2009,26.9,24.1,75.6,1.8,280,75,6.4,145.2,1
Kolhapur District Maharashtra,08-09-2009,26.4,22.7,80,3.6,263.4,80,2.2,141.3,1
Kolhapur District Maharashtra,09-09-2009,26.1,25.7,75.1,3.6,270,80,2.8,129.9,1
Kolhapur District Maharashtra,10-09-2009,26.9,24.2,79.8,1.8,270,60,7.6,119.8,0
Kolhapur District Maharashtra,11-09-2009,26.9,26.7,75,1.8,260,60,11.2,115.4,0
Kolhapur District Maharashtra,12-09-2009,28.1,26.7,72.7,1.8,270,75,3,123.2,1
Kolhapur District Maharashtra,13-09-2009,29.4,28.1,70.8,1.8,290,45,0.3,121.8,1
Kolhapur District Maharashtra,14-09-2009,28.2,24.1,83.9,0,265,95,1.7,115.5,0
Kolhapur District Maharashtra,15-09-2009,26.1,26.1,86.7,0,270,60,16.7,83.6,0
Kolhapur District Maharashtra,16-09-2009,29.1,28.7,67.6,1.8,280,50,0.9,64.5,0
Kolhapur District Maharashtra,17-09-2009,30.1,28.4,63.1,1.8,290,65,3.9,52.8,0
Kolhapur District Maharashtra,18-09-2009,30.2,30.2,53.4,1.8,290,10,3.8,50.3,0
Kolhapur District Maharashtra,19-09-2009,29.7,27.4,64.8,1.8,290,55,0,51.9,0
Kolhapur District Maharashtra,20-09-2009,28.2,26.4,77.2,1.8,270,45,4.6,49.1,0
Kolhapur District Maharashtra,21-09-2009,27.7,27.1,78.1,0,265,100,21.7,46.1,0
Kolhapur District Maharashtra,22-09-2009,29.4,28.1,70.4,1.8,80,80,5.2,56.6,0
Kolhapur District Maharashtra,23-09-2009,26.4,23.7,83.6,1.8,270,90,9.9,58.8,0
Kolhapur District Maharashtra,24-09-2009,28.9,26.9,74.5,0,240,85,15.7,68.4,0
Kolhapur District Maharashtra,25-09-2009,28.7,28.7,70,1.8,270,100,10.2,82.4,0
Kolhapur District Maharashtra,26-09-2009,29.7,28.2,71.2,1.8,270,40,5.4,75.9,0
Kolhapur District Maharashtra,27-09-2009,28.4,21.2,75.5,1.8,230,65,0.5,80.4,0
Kolhapur District Maharashtra,28-09-2009,26.7,26.2,75.7,1.8,280,80,9.9,77,0
Kolhapur District Maharashtra,29-09-2009,25.4,25.1,86.3,3.6,270,100,8.4,83.1,0
Kolhapur District Maharashtra,30-09-2009,24.1,22.9,97.9,1.8,270,100,43.8,91.5,0
Kolhapur District Maharashtra,01-10-2009,24.9,24.9,88.7,1.8,250,100,39.1,130.7,1
